file,time,#nodes,pathlength,horizon,#moves,init_conflicts
benchmarkResults/ex/ex2/size7x7/density40/ex2.lp,41.40861587600375,65,53,8,106,40
benchmarkResults/ex/ex2/size7x7/density40/ex3.lp,88.16370511699643,111,59,11,115,42
benchmarkResults/ex/ex2/size7x7/density40/ex4.lp,28.753335551999044,41,35,10,128,50
benchmarkResults/ex/ex2/size7x7/density40/ex5.lp,58.28340364199539,67,50,12,120,44
benchmarkResults/ex/ex2/size7x7/density40/ex6.lp,30.9524850960006,44,38,9,110,52
benchmarkResults/ex/ex2/size7x7/density40/ex7.lp,21.521961940001347,106,74,13,126,50
benchmarkResults/ex/ex2/size7x7/density40/ex8.lp,5.185890226988704,51,36,10,116,50
benchmarkResults/ex/ex2/size7x7/density40/ex9.lp,5.2149571129994,64,36,9,101,32
benchmarkResults/ex/ex2/size8x8/density20/ex1.lp,0.5407658530020854,10,8,6,40,8
benchmarkResults/ex/ex2/size8x8/density20/ex10.lp,2.8624319179943996,18,13,10,78,16
benchmarkResults/ex/ex2/size8x8/density20/ex2.lp,1.418146557,10,7,10,68,8
benchmarkResults/ex/ex2/size8x8/density20/ex3.lp,2.53249636599503,18,15,11,77,20
benchmarkResults/ex/ex2/size8x8/density20/ex4.lp,0.8881983780011069,7,5,11,72,10
benchmarkResults/ex/ex2/size8x8/density20/ex5.lp,0.8075620029994752,9,7,8,69,14
benchmarkResults/ex/ex2/size8x8/density20/ex6.lp,1.9597489589941688,13,10,11,75,22
benchmarkResults/ex/ex2/size8x8/density20/ex7.lp,2.146329624010832,18,8,10,68,12
benchmarkResults/ex/ex2/size8x8/density20/ex8.lp,0.966731043998152,12,8,9,58,8
benchmarkResults/ex/ex2/size8x8/density20/ex9.lp,1.5892215599888004,19,13,7,59,16
benchmarkResults/ex/ex2/size8x8/density25/ex1.lp,5.855894015010563,28,21,13,122,24
benchmarkResults/ex/ex2/size8x8/density25/ex10.lp,4.747347601005458,33,25,10,89,24
benchmarkResults/ex/ex2/size8x8/density25/ex2.lp,9.851898291002726,48,35,15,136,28
benchmarkResults/ex/ex2/size8x8/density25/ex3.lp,3.84771191800246,26,19,10,80,22
benchmarkResults/ex/ex2/size8x8/density25/ex4.lp,1.6655076349998126,10,8,12,83,22
benchmarkResults/ex/ex2/size8x8/density25/ex5.lp,5.375033580989111,33,24,9,96,26
benchmarkResults/ex/ex2/size8x8/density25/ex6.lp,2.5743595010135323,19,15,10,102,16
benchmarkResults/ex/ex2/size8x8/density25/ex7.lp,9.654884199000662,48,33,11,123,40
benchmarkResults/ex/ex2/size8x8/density25/ex8.lp,6.118154935000348,37,22,10,108,32
benchmarkResults/ex/ex2/size8x8/density25/ex9.lp,2.4646380539925303,23,19,13,87,24
benchmarkResults/ex/ex2/size8x8/density30/ex1.lp,4.273275450992514,23,19,10,101,28
benchmarkResults/ex/ex2/size8x8/density30/ex10.lp,5.826973796996754,36,26,10,116,32
benchmarkResults/ex/ex2/size8x8/density30/ex2.lp,8.947433301000274,59,43,11,121,32
benchmarkResults/ex/ex2/size8x8/density30/ex3.lp,8.240504811998107,46,29,12,109,26
benchmarkResults/ex/ex2/size8x8/density30/ex4.lp,18.74921416399593,82,55,13,150,50
benchmarkResults/ex/ex2/size8x8/density30/ex5.lp,12.467017312010285,74,55,11,144,40
benchmarkResults/ex/ex2/size8x8/density30/ex6.lp,5.7020819619938266,31,26,10,132,30
benchmarkResults/ex/ex2/size8x8/density30/ex7.lp,10.24124112399295,52,37,12,120,36
benchmarkResults/ex/ex2/size8x8/density30/ex8.lp,5.367248132999521,38,32,12,121,38
benchmarkResults/ex/ex2/size8x8/density30/ex9.lp,41.81589631699899,141,86,16,142,44
benchmarkResults/ex/ex2/size8x8/density35/ex1.lp,5.181169506002334,35,30,11,127,62
benchmarkResults/ex/ex2/size8x8/density35/ex10.lp,14.295096797999577,78,48,11,145,42
