name,time,#nodes,pathlength,horizon,#moves
benchmarkResults/ex/ex1/size7x7/density30/ex9.lp,62.16284025000641,722,19,10,68
benchmarkResults/ex/ex1/size7x7/density35/ex1.lp
benchmarkResults/ex/ex1/size7x7/density35/ex2.lp
benchmarkResults/ex/ex1/size7x7/density35/ex3.lp
benchmarkResults/ex/ex1/size7x7/density35/ex4.lp
benchmarkResults/ex/ex1/size7x7/density35/ex5.lp,5.256271930004004,64,15,11,72
benchmarkResults/ex/ex1/size7x7/density35/ex6.lp
benchmarkResults/ex/ex1/size7x7/density35/ex7.lp
benchmarkResults/ex/ex1/size7x7/density35/ex8.lp
benchmarkResults/ex/ex1/size7x7/density35/ex9.lp
benchmarkResults/ex/ex1/size7x7/density40/ex1.lp
benchmarkResults/ex/ex1/size7x7/density40/ex2.lp
benchmarkResults/ex/ex1/size7x7/density40/ex3.lp
benchmarkResults/ex/ex1/size7x7/density40/ex4.lp
benchmarkResults/ex/ex1/size7x7/density40/ex5.lp
benchmarkResults/ex/ex1/size7x7/density40/ex6.lp
benchmarkResults/ex/ex1/size7x7/density40/ex7.lp
benchmarkResults/ex/ex1/size7x7/density40/ex8.lp,25.5680308870069,247,32,10,94
benchmarkResults/ex/ex1/size7x7/density40/ex9.lp
benchmarkResults/ex/ex1/size8x8/density20/ex1.lp,1.8052116990002105,15,5,10,72
benchmarkResults/ex/ex1/size8x8/density20/ex2.lp
benchmarkResults/ex/ex1/size8x8/density20/ex3.lp,4.135952152995742,33,8,9,63
benchmarkResults/ex/ex1/size8x8/density20/ex4.lp,20.64630803099135,93,11,12,74
benchmarkResults/ex/ex1/size8x8/density20/ex5.lp,3.4653932159999385,22,9,10,67
benchmarkResults/ex/ex1/size8x8/density20/ex6.lp,1.7018307710095542,12,6,9,62
benchmarkResults/ex/ex1/size8x8/density20/ex7.lp,163.12551663600607,795,16,11,75
benchmarkResults/ex/ex1/size8x8/density20/ex8.lp,1.1092884130048333,8,3,8,71
benchmarkResults/ex/ex1/size8x8/density20/ex9.lp,44.227925015002256,424,13,8,58
benchmarkResults/ex/ex1/size8x8/density25/ex1.lp,155.36253504399792,799,21,10,94
benchmarkResults/ex/ex1/size8x8/density25/ex2.lp
